id,path,speakerId,transcription,action,object,location,llm_response
,,,Can we have some light in the kitchen?,activate,lights,kitchen,The kitchen lights are now on.
,,,Can we turn on the kitchen lights?,activate,lights,kitchen,The kitchen lights have been turned on.
,,,Can you light up the kitchen for me?,activate,lights,kitchen,The kitchen lights are now on.
,,,Can you start the bedroom lights?,activate,lights,bedroom,The bedroom lights are now on.
,,,Can you start the lights in the kitchen?,activate,lights,kitchen,The kitchen lights are now on.
,,,Can you turn on the lights for me?,activate,lights,none,The lights have been turned on.
,,,Could you activate the bedroom lights?,activate,lights,bedroom,The bedroom lights have been activated.
,,,Could you switch the washroom lights on?,activate,lights,washroom,The washroom lights have been switched on.
,,,Could you turn on the kitchen lights for me?,activate,lights,kitchen,The kitchen lights have been switched on.
,,,Get the washroom lights on,activate,lights,washroom,The washroom lights have been turned on.
,,,How about lighting up the washroom?,activate,lights,washroom,The washroom lights have been turned on.
,,,I want the kitchen to be bright,activate,lights,kitchen,The kitchen lights have been turned on.
,,,I'd like the washroom lights on,activate,lights,washroom,The washroom lights are now on.
,,,I'd like to turn the bedroom lights on,activate,lights,bedroom,The bedroom lights have been turned on.
,,,I'd really like the lights on in the kitchen now,activate,lights,kitchen,The kitchen lights have been turned on.
,,,Kindly turn the kitchen lights on,activate,lights,kitchen,The kitchen lights have been switched on.
,,,Kitchen lights on,activate,lights,kitchen,The kitchen lights have been turned on.
,,,Let the lights shine in the washroom,activate,lights,washroom,The washroom lights have been turned on.
,,,Let's activate the washroom lights,activate,lights,washroom,The washroom lights have been turned on.
,,,Let's get some illumination going in the bedroom,activate,lights,bedroom,The bedroom lights have been turned on.
,,,Let's light up the whole place,activate,lights,none,The lights are now on.
,,,Let's have those kitchen lights brought to life,activate,lights,kitchen,The kitchen lights are now on.
,,,Let's light up the washroom,activate,lights,washroom,The washroom lights are now on.
,,,Lights on,activate,lights,none,The lights are now on.
,,,Lights on in the bathroom,activate,lights,washroom,The lights in the bathroom are now on.
,,,Lights on in the bedroom,activate,lights,bedroom,The bedroom lights are now on.
,,,Lights on in the kitchen,activate,lights,kitchen,The lights in the kitchen are now on.
,,,Lights on in the washroom,activate,lights,washroom,The lights in the washroom are now on.
,,,"Lights, please?in the bedroom",activate,lights,bedroom,The bedroom lights have been turned on.
,,,Make it bright in the kitchen,activate,lights,kitchen,The kitchen lights are now on.
,,,Please brighten the bedroom,activate,lights,bedroom,The bedroom lights are now on.
,,,Please brighten the washroom,activate,lights,washroom,The washroom lights have been turned on.
,,,Please illuminate the kitchen,activate,lights,kitchen,The kitchen lights are now on.
,,,Please light up the kitchen,activate,lights,kitchen,The kitchen lights are now on.
,,,Please make the bedroom brighter,activate,lights,bedroom,The bedroom lights have been turned on.
,,,Please put the lights on in the bedroom,activate,lights,bedroom,The bedroom lights have been turned on.
,,,Please start the lights in the bedroom,activate,lights,bedroom,The bedroom lights are now on.
,,,Please turn the washroom lights back on,activate,lights,washroom,The washroom lights have been turned back on.
,,,Power on the kitchen lights please,activate,lights,kitchen,The kitchen lights have been turned on.
,,,Power on the lights in the bedroom,activate,lights,bedroom,The bedroom lights have been powered on.
,,,Power on the lights in the kitchen,activate,lights,kitchen,The kitchen lights have been powered on.
,,,Power up the bedroom lights,activate,lights,bedroom,The bedroom lights are now on.
,,,Start the kitchen lights,activate,lights,kitchen,The kitchen lights are now on.
,,,Start the lights in the bedroom,activate,lights,bedroom,The bedroom lights are now on.
,,,Start the lights in the washroom,activate,lights,washroom,The washroom lights are now on.
,,,Start up the kitchen lights,activate,lights,kitchen,The kitchen lights are now on.
,,,Switch on the bathroom lights,activate,lights,washroom,The bathroom lights have been switched on.
,,,Switch on the house lights,activate,lights,none,The lights have been switched on.
,,,Switch on the kitchen lights,activate,lights,kitchen,The kitchen lights have been switched on.
,,,Switch on the lights,activate,lights,none,The lights have been switched on.
,,,Switch on the lights in the bedroom,activate,lights,bedroom,The lights in the bedroom have been switched on.
,,,Switch on the lights in the house,activate,lights,none,The lights have been turned on.
,,,Switch on the lights in the kitchen,activate,lights,kitchen,The lights in the kitchen have been switched on.
,,,Switch on the washroom lights,activate,lights,washroom,The washroom lights have been switched on.
,,,Switch the bedroom lights on,activate,lights,bedroom,The bedroom lights have been switched on.
,,,Switch the kitchen lights on,activate,lights,kitchen,The kitchen lights have been switched on.
,,,Switch the lights on,activate,lights,none,The lights have been switched on.
,,,Time to light up the bedroom,activate,lights,bedroom,The bedroom lights are now on.
,,,Turn on all the lights,activate,lights,none,The lights have been turned on.
,,,Turn on the bathroom lights,activate,lights,washroom,The bathroom lights have been turned on.
,,,Turn on the kitchen lights,activate,lights,kitchen,The kitchen lights have been turned on.
,,,Turn on the lights,activate,lights,none,The lights have been turned on.
,,,Turn on the lights in the bedroom,activate,lights,bedroom,The lights in the bedroom have been turned on.
,,,Turn on the lights in the bedroom please,activate,lights,bedroom,The bedroom lights have been turned on.
,,,"Turn on the lights in the washroom, please",activate,lights,washroom,The washroom lights have been turned on.
,,,Turn on the lights throughout the house,activate,lights,none,The lights have been turned on.
,,,Turn on the washroom lights,activate,lights,washroom,The washroom lights have been turned on.
,,,Turn the bathroom lights on,activate,lights,washroom,The bathroom lights have been turned on.
,,,Turn the bedroom lights on,activate,lights,bedroom,The bedroom lights have been turned on.
,,,Turn the bedroom lights on again,activate,lights,bedroom,The bedroom lights have been switched on.
,,,Turn the kitchen lights on,activate,lights,kitchen,The kitchen lights have been turned on.
,,,Turn the lights back on in the kitchen,activate,lights,kitchen,The kitchen lights have been turned on again.
,,,Turn the lights on,activate,lights,none,The lights have been turned on.
,,,Turn the lights on in the hallway,activate,lights,none,The lights have been turned on.
,,,Turn the lights on in the kitchen,activate,lights,kitchen,The lights in the kitchen have been turned on.
,,,Turn the lights on throughout,activate,lights,none,The lights have been turned on.
,,,Turn the washroom lights on,activate,lights,washroom,The washroom lights are now on.
,,,Turn the washroom lights on now,activate,lights,washroom,The washroom lights have been turned on.
,,,Wake up the bedroom with some light,activate,lights,bedroom,The bedroom lights are now on.
,,,Washroom lights on,activate,lights,washroom,The washroom lights are now turned on.
,,,Activate the music system,activate,music,none,Music has been activated.
,,,Begin the music in the bedroom,activate,music,bedroom,The music is now playing in the bedroom.
,,,Can you start playing music in the bedroom?,activate,music,bedroom,Music is now playing in the bedroom.
,,,Can you start playing music in the kitchen?,activate,music,kitchen,The music is now playing in the kitchen.
,,,Care to fire up the music in here?,activate,music,none,Music has started playing.
,,,Could you put on the music in the bedroom?,activate,music,bedroom,Music is now playing in the bedroom.
,,,"Music on in the washroom, please",activate,music,washroom,Music is now playing in the washroom.
,,,Fire up the kitchen music,activate,music,kitchen,Music is now playing in the kitchen.
,,,Fire up the music in the kitchen,activate,music,kitchen,The music is now playing in the kitchen.
,,,Get the kitchen music going,activate,music,kitchen,Music is now playing in the kitchen.
,,,Get the washroom music started,activate,music,washroom,Music is now playing in the washroom.
,,,How about playing some music?,activate,music,none,The music is now playing.
,,,I want music in the kitchen now,activate,music,kitchen,Music is now playing in the kitchen.
,,,I want to hear some music now,activate,music,none,The music has started playing.
,,,I'd like some music now,activate,music,none,Music is now playing.
,,,I'd like to hear some music now,activate,music,none,The music has started playing.
,,,Let's get some music going,activate,music,none,Music has started playing.
,,,Let's have some music in the bedroom,activate,music,bedroom,Music is now playing in the bedroom.
,,,Let's have some music now,activate,music,none,The music has started playing.
,,,Let's hear some music,activate,music,none,Music is now playing.
,,,Let's hear some music in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Let's hear something in the kitchen,activate,music,kitchen,Music is now playing in the kitchen.
,,,Let's play some tunes,activate,music,none,Music is now playing.
,,,Let's play something in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Let's put on some music in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Let's turn the music back on in the bedroom,activate,music,bedroom,The music is now playing in the bedroom again.
,,,Mind turning on the music for me?,activate,music,none,Music is now playing.
,,,Play,activate,music,none,Music is now playing.
,,,Play a song,activate,music,none,The music is now playing.
,,,Play a song in the kitchen,activate,music,kitchen,The kitchen music is now on.
,,,Play me some tunes in the bedroom,activate,music,bedroom,Music is now playing in the bedroom.
,,,Play music,activate,music,none,Music is now playing.
,,,Play music in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Play some music in the bedroom,activate,music,bedroom,The music is now playing in the bedroom.
,,,Play some music in the house,activate,music,none,The music is now playing.
,,,Play some music in the kitchen,activate,music,kitchen,Music is now playing in the kitchen.
,,,Play some music right now,activate,music,none,Music has started playing.
,,,Play something in the kitchen,activate,music,kitchen,Music is now playing in the kitchen.
,,,Play something nice in the bedroom,activate,music,bedroom,Music is now playing in the bedroom.
,,,Play the music,activate,music,none,The music is now playing.
,,,Please get the music going,activate,music,none,Music is now playing.
,,,Please play music in the kitchen,activate,music,kitchen,Music is now playing in the kitchen.
,,,Please play music in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Please play something in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Please start the music in the bedroom,activate,music,bedroom,The music is now playing in the bedroom.
,,,Power on the bedroom music,activate,music,bedroom,Music is now playing in the bedroom.
,,,Put on the music,activate,music,none,Music is now playing.
,,,Resume,activate,music,none,Music has been resumed.
,,,Resume music,activate,music,none,Music has been resumed.
,,,Start music in the kitchen now,activate,music,kitchen,Music is now playing in the kitchen.
,,,Start playing music in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Start playing music please,activate,music,none,Music has started playing.
,,,Start playing some music for me,activate,music,none,The music is now playing.
,,,Start playing something in the bedroom,activate,music,bedroom,The music is now playing in the bedroom.
,,,Start the kitchen music please,activate,music,kitchen,Music is now playing in the kitchen.
,,,Start the music,activate,music,none,Music has been started.
,,,Start the music in the washroom,activate,music,washroom,Music has started playing in the washroom.
,,,Start the music now,activate,music,none,The music is now playing.
,,,Switch on the kitchen music,activate,music,kitchen,Music is now playing in the kitchen.
,,,Switch on the washroom music,activate,music,washroom,Music is now playing in the washroom.
,,,Switch the music on in the bedroom,activate,music,bedroom,The music is now playing in the bedroom.
,,,Switch the music on in the kitchen,activate,music,kitchen,The kitchen music is now on.
,,,Turn on some tunes,activate,music,none,Music has started playing.
,,,Turn on the music in the bedroom,activate,music,bedroom,Music is now playing in the bedroom.
,,,Turn on the music system,activate,music,none,Music is now playing.
,,,Turn the music back on in the bedroom,activate,music,bedroom,The music is playing in the bedroom again.
,,,Turn the music on in the washroom,activate,music,washroom,Music is now playing in the washroom.
,,,Turn off the TV please,deactivate,tv,none,The tv has been turned off.
,,,Switch off the screen in the bedroom,deactivate,tv,bedroom,The tv has been turned off.
,,,Can you power down the TV?,deactivate,tv,none,The tv has been turned off.
,,,Let's shut off the living room screen,deactivate,tv,none,The tv has been turned off.
,,,Disable the kitchen display,deactivate,tv,kitchen,The tv has been turned off.
,,,Could you stop the bedroom television?,deactivate,tv,bedroom,The tv has been turned off.
,,,Time to rest the washroom TV,deactivate,tv,washroom,The tv has been turned off.
,,,Stop the washroom display now,deactivate,tv,washroom,The tv has been turned off.
,,,Please deactivate the screen,deactivate,tv,none,The tv has been turned off.
,,,Make the TV go off,deactivate,tv,none,The tv has been turned off.
,,,Stop playing on the television,deactivate,tv,none,The tv has been turned off.
,,,Can we switch off the display?,deactivate,tv,none,The tv has been turned off.
,,,Power down the TV in the bedroom,deactivate,tv,bedroom,The tv has been turned off.
,,,Put the kitchen screen to rest,deactivate,tv,kitchen,The tv has been turned off.
,,,Shut down the washroom television,deactivate,tv,washroom,The tv has been turned off.
,,,Turn off the screen now,deactivate,tv,none,The tv has been turned off.
,,,Power off the display in the kitchen,deactivate,tv,kitchen,The tv has been turned off.
,,,Turn off the TV in the bedroom,deactivate,tv,bedroom,The tv has been turned off.
,,,TV off,deactivate,tv,none,The tv has been turned off.
,,,Let's turn off the washroom screen,deactivate,tv,washroom,The tv has been turned off.
,,,Shut the bedroom television off,deactivate,tv,bedroom,The tv has been turned off.
,,,Pull the plug on the kitchen TV,deactivate,tv,kitchen,The tv has been turned off.
,,,Please shut off the TV,deactivate,tv,none,The tv has been turned off.
,,,Screen off,deactivate,tv,none,The tv has been turned off.
,,,I'd like the TV to stop now,deactivate,tv,none,The tv has been turned off.
,,,Cut the power to the washroom screen,deactivate,tv,washroom,The tv has been turned off.
,,,Let's stop the display in the kitchen,deactivate,tv,kitchen,The tv has been turned off.
,,,Switch off the display please,deactivate,tv,none,The tv has been turned off.
,,,Kill the screen in the bedroom,deactivate,tv,bedroom,The tv has been turned off.
,,,Put out the kitchen TV,deactivate,tv,kitchen,The tv has been turned off.
,,,I don't need the television on anymore,deactivate,tv,none,The tv has been turned off.
,,,Wrap up the washroom display,deactivate,tv,washroom,The tv has been turned off.
,,,Shut down the TV please,deactivate,tv,none,The tv has been turned off.
,,,I want the screen off now,deactivate,tv,none,The tv has been turned off.
,,,Time to turn off the screen,deactivate,tv,none,The tv has been turned off.
,,,Cut the signal to the kitchen TV,deactivate,tv,kitchen,The tv has been turned off.
,,,Switch off the washroom display,deactivate,tv,washroom,The tv has been turned off.
,,,Turn the TV display off,deactivate,tv,none,The tv has been turned off.
,,,Make the television stop working,deactivate,tv,none,The tv has been turned off.
,,,Please put the display to sleep,deactivate,tv,none,The tv has been turned off.
,,,Can you switch off the screen in the washroom?,deactivate,tv,washroom,The tv has been turned off.
,,,Power off the display unit,deactivate,tv,none,The tv has been turned off.
,,,Switch off the lights,deactivate,lights,none,The lights have been switched off.
,,,Switch the lights off,deactivate,lights,none,The lights have been switched off.
,,,Turn the lights off in the kitchen,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Switch off the lights in the kitchen,deactivate,lights,kitchen,The lights in the kitchen have been switched off.
,,,Switch the lights off in the kitchen,deactivate,lights,kitchen,The kitchen lights have been switched off.
,,,Kitchen lights off,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Turn the bedroom lights off,deactivate,lights,bedroom,The bedroom lights have been turned off.
,,,Switch the bedroom lights off,deactivate,lights,bedroom,The bedroom lights have been switched off.
,,,Bedroom lights off,deactivate,lights,bedroom,The bedroom lights have been turned off.
,,,Switch off the washroom lights,deactivate,lights,washroom,The washroom lights have been switched off.
,,,Lights off in the washroom,deactivate,lights,washroom,The lights in the washroom have been turned off.
,,,Washroom lights off,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Turn the washroom lights off,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Turn off the lights,deactivate,lights,none,The lights have been turned off.
,,,Turn the lights off,deactivate,lights,none,The lights have been turned off.
,,,Lights off,deactivate,lights,none,The lights have been turned off.
,,,Turn off the kitchen lights,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Lights off in the kitchen,deactivate,lights,kitchen,The lights in the kitchen have been turned off.
,,,Turn off the lights in the bedroom,deactivate,lights,bedroom,The lights in the bedroom have been turned off.
,,,Switch off the lights in the bedroom,deactivate,lights,bedroom,The lights in the bedroom have been switched off.
,,,Lights off in the bedroom,deactivate,lights,bedroom,The lights in the bedroom are now off.
,,,Turn off the washroom lights,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Can you shut off the bedroom lights?,deactivate,lights,bedroom,The bedroom lights have been turned off.
,,,Kill the lights in the bedroom,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Cut the lights in the washroom,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Can we turn off the lights now?,deactivate,lights,none,The lights have been turned off.
,,,Shut off the washroom lights,deactivate,lights,washroom,The washroom lights are now off.
,,,Please cut the lights in the kitchen,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Lights out in the washroom please,deactivate,lights,washroom,The washroom lights are now off.
,,,Let's power down the bedroom lights,deactivate,lights,bedroom,The bedroom lights have been powered down.
,,,Please turn off the lights in the kitchen,deactivate,lights,kitchen,The kitchen lights are now off.
,,,Lights off in every room please,deactivate,lights,none,All lights have been turned off.
,,,Darken the bedroom lights,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Power off the lights in the washroom,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Power down the kitchen lights,deactivate,lights,kitchen,The kitchen lights are now off.
,,,Would you mind turning the lights off?,deactivate,lights,none,The lights have been turned off.
,,,Lights down in the kitchen,deactivate,lights,kitchen,The kitchen lights are now off.
,,,I want to turn off the lights here,deactivate,lights,none,The lights are now off.
,,,Please shut down the kitchen lights,deactivate,lights,kitchen,The kitchen lights are now off.
,,,Let's go dark in the washroom,deactivate,lights,washroom,The washroom lights are now off.
,,,The kitchen doesn't need lights right now,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Cut the bedroom lighting,deactivate,lights,bedroom,The bedroom lights are now off.
,,,I don't need the lights anymore,deactivate,lights,none,The lights have been turned off.
,,,Let's shut down the bedroom lights,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Dim the kitchen lights completely,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Let's make the room dark again,deactivate,lights,none,The lights have been turned off.
,,,Shut the lights down in the kitchen,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Let's unplug the lights metaphorically,deactivate,lights,none,The lights are now off.
,,,Put an end to the kitchen lighting,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Take the lights down in the bedroom,deactivate,lights,bedroom,The bedroom lights have been turned off.
,,,Please pull the plug on the kitchen lights,deactivate,lights,kitchen,The kitchen lights have been shut off.
,,,Let's stop the lights in the washroom,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Let's get the bedroom dark again,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Stop all active lights now,deactivate,lights,none,All lights have been turned off.
,,,Turn the lights out in the washroom,deactivate,lights,washroom,The washroom lights are now off.
,,,Can we darken the kitchen for now?,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Remove the lighting from the bedroom,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Time to sleep?lights off please,deactivate,lights,none,The lights have been turned off.
,,,Darken the entire bedroom please,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Please deactivate the lighting here,deactivate,lights,none,The lights have been turned off.
,,,Make it dark in the washroom,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Kill the mood with lights off,deactivate,lights,none,The lights have been turned off.
,,,Take the lights offline in the kitchen,deactivate,lights,kitchen,The kitchen lights are now off.
,,,Can we stop lighting the bedroom?,deactivate,lights,bedroom,The bedroom lights are off now.
,,,Let's kill the lights for now,deactivate,lights,none,All lights have been turned off.
,,,I'd like total darkness please,deactivate,lights,none,All lights have been turned off.
,,,Deactivate the bedroom ambiance,deactivate,lights,bedroom,The bedroom lights have been deactivated.
,,,Switch off the bedroom atmosphere,deactivate,lights,bedroom,The bedroom lights are now off.
,,,Let's put an end to all lights,deactivate,lights,none,All lights have been turned off.
,,,Bring down the kitchen lights,deactivate,lights,kitchen,The kitchen lights are now off.
,,,Time to power off the kitchen light,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Turn off all the bathroom lights,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Disable the lights here,deactivate,lights,none,The lights have been disabled.
,,,Cancel the kitchen illumination,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,Deactivate all bedroom lighting,deactivate,lights,bedroom,The bedroom lights have been deactivated.
,,,End all lighting now please,deactivate,lights,none,All lighting has been turned off.
,,,Can you tone down the lights in the kitchen?,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,No need for lights in the washroom now,deactivate,lights,washroom,The washroom lights have been turned off.
,,,Let's power off the lights in the bedroom,deactivate,lights,bedroom,The bedroom lights have been turned off.
,,,Switch off the lights in every corner,deactivate,lights,none,All lights have been switched off.
,,,Let's shut down the washroom lighting,deactivate,lights,washroom,The washroom lights are now off.
,,,Kill the lights in the kitchen for me,deactivate,lights,kitchen,The kitchen lights have been turned off.
,,,"Lights off, please?everywhere",deactivate,lights,none,All lights have been turned off.
,,,Turn off the music,deactivate,music,none,The music has been turned off.
,,,Stop the music,deactivate,music,none,Music has been stopped.
,,,Pause music,deactivate,music,none,Music has been paused.
,,,Stop,deactivate,music,none,Music has been stopped.
,,,Pause the music,deactivate,music,none,The music has been paused.
,,,Stop music,deactivate,music,none,Music has been stopped.
,,,Pause,deactivate,music,none,Music has been paused.
,,,Let's stop the music in the washroom,deactivate,music,washroom,Music has been stopped in the washroom.
,,,Turn the music off in the kitchen,deactivate,music,kitchen,The kitchen music has been turned off.
,,,Stop the music that's playing,deactivate,music,none,The music has been stopped.
,,,Mute the music in the bedroom,deactivate,music,bedroom,The music has been turned off in the bedroom.
,,,I don't want any music right now,deactivate,music,none,Music has been turned off.
,,,End the music session,deactivate,music,none,Music playback has ended.
,,,Stop whatever music is playing,deactivate,music,none,Music has stopped.
,,,Turn the music off now,deactivate,music,none,Music has been stopped.
,,,Please stop the kitchen music,deactivate,music,kitchen,The kitchen music has been stopped.
,,,I'd like silence now,deactivate,music,none,The music has been turned off.
,,,Pause the music in the bedroom,deactivate,music,bedroom,The bedroom music has been paused.
,,,Turn off the bedroom music please,deactivate,music,bedroom,Music in the bedroom has been turned off.
,,,Please stop playing music,deactivate,music,none,The music has stopped.
,,,Kill the sound in the washroom,deactivate,music,washroom,The music in the washroom has stopped.
,,,Switch off the music completely,deactivate,music,none,Music has been completely stopped.
,,,Please end the music in the bedroom,deactivate,music,bedroom,The bedroom music has ended.
,,,No more music in the washroom please,deactivate,music,washroom,Music has been turned off in the washroom.
,,,Can we lose the music now?,deactivate,music,none,Music has been stopped.
,,,Turn off the music playing in the kitchen,deactivate,music,kitchen,The kitchen music has been turned off.
,,,Deactivate the music in the washroom,deactivate,music,washroom,Music in the washroom has been deactivated.
,,,Please pause whatever music is on,deactivate,music,none,The music has been paused.
,,,Stop the sound in the bedroom,deactivate,music,bedroom,The music in the bedroom has stopped.
,,,Please switch off the music in the kitchen,deactivate,music,kitchen,Music in the kitchen has been stopped.
,,,Power down the music in the house,deactivate,music,none,Music has been turned off.
,,,Turn off whatever is playing,deactivate,music,none,Music playback has ended.
,,,"I want a quiet space, stop the music",deactivate,music,none,Music has been stopped.
,,,Cut the washroom audio,deactivate,music,washroom,Music in the washroom has been turned off.
,,,Wrap up the bedroom music,deactivate,music,bedroom,Music in the bedroom has been turned off.
,,,Make it silent by stopping the music,deactivate,music,none,The music has stopped.
,,,I'm done with the music for today,deactivate,music,none,Music has been turned off.
,,,Can you please stop the washroom music?,deactivate,music,washroom,Music in the washroom has stopped.
,,,"Deactivate all music, please",deactivate,music,none,All music has been turned off.
,,,Let's go silent in the bedroom,deactivate,music,bedroom,Music in the bedroom has been turned off.
,,,Can you end the song playing right now?,deactivate,music,none,Music playback has ended.
,,,Don't need music in the kitchen anymore,deactivate,music,kitchen,Music in the kitchen has been turned off.
,,,Please silence the music in the bedroom,deactivate,music,bedroom,Music in the bedroom has stopped.
,,,Deactivate whatever music is active,deactivate,music,none,Music has been deactivated.
,,,Shut off the kitchen soundtrack,deactivate,music,kitchen,Music in the kitchen has stopped.
,,,Switch off everything playing music,deactivate,music,none,Music playback has been stopped.
,,,End all sounds in the washroom,deactivate,music,washroom,Music playback has been stopped.
,,,Can you shut off the bedroom music?,deactivate,music,bedroom,Music in the bedroom has been turned off.
,,,"Turn that music off, will you?",deactivate,music,none,The music has been turned off.
,,,Get rid of the sound in the kitchen,deactivate,music,kitchen,The kitchen music has been turned off.
,,,The kitchen doesn't need music now,deactivate,music,kitchen,Music in the kitchen has been turned off.
,,,Please power off the bedroom music,deactivate,music,bedroom,Music in the bedroom has been powered off.
,,,Can we stop the music completely?,deactivate,music,none,Music has been turned off.
,,,Power down the washroom audio,deactivate,music,washroom,The washroom music has been stopped.
,,,Please deactivate the speakers,deactivate,music,none,The music has been silenced.
,,,Shut off the washroom music,deactivate,music,washroom,The music has been turned off.
,,,Shut off the bedroom soundtrack,deactivate,music,bedroom,The bedroom music has been turned off.
,,,Cease the music in every room,deactivate,music,none,All music has been turned off.
,,,No music in the kitchen anymore,deactivate,music,kitchen,Music in the kitchen has been turned off.
,,,Let's unplug the music metaphorically,deactivate,music,none,Music has stopped.
,,,Turn the sound off in the washroom,deactivate,music,washroom,Music in the washroom has been stopped.
,,,Power down that kitchen speaker,deactivate,music,kitchen,Music in the kitchen has stopped.
,,,Mute the system completely,deactivate,music,none,Music output has been muted.
